code,prob.0,prob.1,response
stock101216,0.637814641,0.362185359,0
stock101033,0.637814641,0.362185359,0
stock101747,0.637814641,0.362185359,0
stock100615,0.637814641,0.362185359,0
stock102122,0.637814641,0.362185359,0
stock101863,0.637814641,0.362185359,0
stock103545,0.637814641,0.362185359,0
stock102892,0.637814641,0.362185359,0
stock102716,0.637814641,0.362185359,0
stock100689,0.637814641,0.362185359,0
stock102113,0.637814641,0.362185359,0
stock103181,0.637814641,0.362185359,0
stock100879,0.637814641,0.362185359,0
stock100368,0.637814641,0.362185359,0
stock100024,0.637814641,0.362185359,0
stock101567,0.637814641,0.362185359,0
stock102364,0.637814641,0.362185359,0
stock103606,0.637814641,0.362185359,0
stock102103,0.637814641,0.362185359,0
stock101250,0.637814641,0.362185359,0
stock100653,0.637814641,0.362185359,0
stock103002,0.637814641,0.362185359,0
stock100093,0.637814641,0.362185359,0
stock101094,0.637814641,0.362185359,0
stock100922,0.637814641,0.362185359,0
stock101875,0.637814641,0.362185359,0
stock102483,0.637814641,0.362185359,0
stock102087,0.637814641,0.362185359,0
stock100611,0.637814641,0.362185359,0
stock103121,0.637814641,0.362185359,0
stock103282,0.637814641,0.362185359,0
stock102209,0.637814641,0.362185359,0
stock102653,0.637814641,0.362185359,0
stock101734,0.637814641,0.362185359,0
stock100604,0.637814641,0.362185359,0
stock103220,0.637814641,0.362185359,0
stock101123,0.637814641,0.362185359,0
stock102058,0.637814641,0.362185359,0
stock103370,0.637814641,0.362185359,0
stock100274,0.637814641,0.362185359,0
stock100277,0.637814641,0.362185359,0
stock100018,0.637814641,0.362185359,0
stock101511,0.637814641,0.362185359,0
stock101260,0.637814641,0.362185359,0
stock101308,0.637814641,0.362185359,0
stock103541,0.637814641,0.362185359,0
stock102514,0.637814641,0.362185359,0
stock100089,0.637814641,0.362185359,0
stock100080,0.637814641,0.362185359,0
stock103548,0.637814641,0.362185359,0
stock101957,0.637814641,0.362185359,0
stock101081,0.637814641,0.362185359,0
stock103515,0.637814641,0.362185359,0
stock102278,0.637814641,0.362185359,0
stock102341,0.637814641,0.362185359,0
stock101690,0.637814641,0.362185359,0
stock100743,0.637814641,0.362185359,0
stock102231,0.637814641,0.362185359,0
stock102867,0.637814641,0.362185359,0
stock100515,0.637814641,0.362185359,0
stock103115,0.637814641,0.362185359,0
stock101522,0.637814641,0.362185359,0
stock101544,0.637814641,0.362185359,0
stock101336,0.637814641,0.362185359,0
stock101722,0.637814641,0.362185359,0
stock102902,0.637814641,0.362185359,0
stock102165,0.637814641,0.362185359,0
stock100863,0.637814641,0.362185359,0
stock102630,0.637814641,0.362185359,0
stock101657,0.637814641,0.362185359,0
stock101986,0.637814641,0.362185359,0
stock101987,0.637814641,0.362185359,0
stock103450,0.637814641,0.362185359,0
stock102870,0.637814641,0.362185359,0
stock100413,0.637814641,0.362185359,0
stock100002,0.637814641,0.362185359,0
stock101073,0.637814641,0.362185359,0
stock103141,0.637814641,0.362185359,0
stock100511,0.637814641,0.362185359,0
stock103019,0.637814641,0.362185359,0
stock100820,0.637814641,0.362185359,0
stock100954,0.637814641,0.362185359,0
stock101417,0.637814641,0.362185359,0
stock100457,0.637814641,0.362185359,0
stock103212,0.637814641,0.362185359,0
stock102187,0.637814641,0.362185359,0
stock102950,0.637814641,0.362185359,0
stock100134,0.637814641,0.362185359,0
stock100133,0.637814641,0.362185359,0
stock102763,0.637814641,0.362185359,0
stock102923,0.637814641,0.362185359,0
stock101971,0.637814641,0.362185359,0
stock102170,0.637814641,0.362185359,0
stock102076,0.637814641,0.362185359,0
stock100854,0.637814641,0.362185359,0
stock100919,0.637814641,0.362185359,0
stock100717,0.637814641,0.362185359,0
stock100986,0.637814641,0.362185359,0
stock101581,0.637814641,0.362185359,0
stock103612,0.637814641,0.362185359,0
stock102849,0.637814641,0.362185359,0
